#{"t_start": 1754334945.4703574, "env_id": "None"}
r,l,t
80.377006,217,3187.596887
141.929841,1042,3192.880915
78.076879,243,3194.10061
83.65284,204,3195.105641
163.789671,333,3196.901273
430.523755,787,3200.909085
85.941949,205,3201.872336
973.656257,2586,3215.323069
47.792883,265,3216.545336
1005.214198,2056,3227.196033
478.072421,2051,3237.384979
960.471174,3600,3255.835195
402.821393,796,3259.600041
47.236402,229,3260.679927
641.509202,3600,3279.251081
358.613948,3600,3297.737734
53.253708,350,3299.522478
606.50757,3600,3318.086488
668.087136,3600,3336.010288
321.794621,3600,3354.428041
359.439755,813,3359.157021
493.640423,950,3363.417962
50.933295,229,3364.535699
14.71814,130,3365.199466
380.171663,3600,3383.692932
75.566202,336,3385.5746
1135.30891,3188,3402.112053
484.811523,3600,3419.997534
1444.486961,3600,3438.475681
555.906947,3600,3457.204354
111.183818,861,3461.647501
907.977154,3600,3480.618865
124.415902,323,3482.450873
133.996287,411,3484.76206
261.810732,1781,3493.439538
54.233055,493,3495.903202
152.208401,778,3500.279512
1232.502057,3600,3518.838814
1421.348679,2520,3531.515091
637.635845,3600,3550.053526
987.229491,3600,3568.413526
266.062165,776,3572.489919
499.854089,2459,3584.717652
177.927222,804,3589.12564
604.305056,3600,3607.346677
275.464701,3493,3624.769257
1314.184075,3600,3643.37114
619.269261,2622,3678.615225
68.093277,210,3679.509993
701.842913,3533,3695.146267
131.268174,296,3696.377311
902.857395,3600,3712.256475
830.923941,2043,3721.188064
1101.360355,3600,3737.143864
1518.028492,2518,3748.510424
589.851722,2076,3757.333287
691.736876,3600,3773.078349
349.054765,3600,3788.924936
69.294578,246,3789.961298
1047.974969,2474,3800.995212
38.861853,160,3801.672751
768.251596,3600,3817.319662
173.284015,647,3820.352033
192.035914,646,3823.151786
240.016832,834,3826.837108
213.887114,356,3828.396266
157.58828,658,3831.274476
67.419531,270,3832.458747
950.127852,3008,3845.612604
77.748332,754,3848.907514
308.657955,3592,3864.829751
767.548835,2144,3874.31389
961.234446,3600,3890.064542
214.939108,473,3892.370531
504.098565,3600,3908.100365
300.477031,2201,3917.819623
527.376901,3109,3931.554459
27.574256,230,3932.541127
2136.399795,3600,3948.305231
236.768259,2249,3958.105823
326.576399,627,3960.865306
511.462518,3600,3976.624797
69.182981,233,3977.620164
794.062675,2451,3988.450187
1065.109472,3600,4004.395872
979.894363,3600,4020.202772
607.143983,3600,4037.076099
21.315768,140,4037.698782
261.168298,1743,4045.813923
1316.706472,3600,4064.101465
267.80983,1066,4071.576447
247.155836,743,4074.951572
450.711173,3600,4093.264086
632.140915,1481,4100.863864
574.263925,3600,4116.670117
435.412428,870,4120.677091
1044.665723,3600,4136.712241
102.750379,329,4138.136736
633.248312,1708,4145.646272
53.126202,240,4146.689494
884.631185,1932,4155.378247
697.936253,3370,4170.336583
106.855398,561,4173.038389
1384.807091,3600,4188.765608
411.04253,920,4193.018861
685.830259,2898,4205.806404
69.542993,839,4209.743294
699.453617,1753,4217.394532
133.526733,870,4221.31371
1009.707849,3600,4237.380524
43.847017,163,4238.099663
337.909811,647,4240.994165
748.205713,3600,4258.502397
393.797571,3600,4276.779995
56.104311,204,4277.878149
767.726613,3600,4296.758854
852.814853,3460,4313.885391
293.439926,751,4317.340594
263.505161,1386,4324.953486
1247.326592,3600,4343.408128
174.878776,324,4344.92147
619.728291,1723,4353.993875
698.784242,3600,4372.60999
367.7699,3600,4390.770161
1403.019502,3600,4408.681602
116.855366,268,4410.144896
672.835957,3600,4428.301965
527.165205,1223,4434.267456
189.46677,703,4437.96058
449.700223,3600,4456.369251
77.696823,226,4457.40647
1018.217385,3600,4475.006685
310.449666,879,4478.820858
601.772156,2205,4488.563923
566.421485,1007,4493.167653
230.04981,1016,4497.449281
390.983847,2108,4506.764869
879.165736,1971,4515.466818
720.688878,3600,4531.516869
600.769789,3600,4547.593796
1292.905894,3600,4563.381208
307.981653,1251,4569.020984
131.618237,284,4570.213963
267.020446,1310,4575.95851
207.493181,1209,4581.232234
561.994464,1991,4590.120858
138.229253,1166,4595.272448
1107.911495,2737,4607.511874
970.509816,2333,4617.948405
291.860281,842,4621.850196
860.878211,3600,4637.908742
2123.118527,3600,4653.711894
128.315572,335,4655.209368
477.900973,3600,4671.287459
336.469219,1581,4678.454007
304.117963,974,4682.692031
18.826228,138,4683.314276
73.3774,200,4684.213539
280.892204,814,4687.849493
258.445007,3278,4702.482042
894.942247,3600,4718.478359
228.298165,952,4722.689261
73.729931,310,4724.070186
940.287131,3451,4739.381082
61.170579,293,4740.673995
1493.422175,3600,4756.737644
217.89261,420,4758.629915
177.774366,405,4760.501395
96.915434,893,4764.460815
1972.22463,3600,4780.419903
757.701745,1841,4788.635864
35.592265,272,4789.872029
372.140067,1522,4796.590137
262.720437,642,4799.390579
147.329841,289,4800.667483
55.44501,915,4804.710775
394.454211,2142,4814.312495
33.546737,396,4816.063479
489.080217,1320,4822.152972
124.045919,352,4823.645568
581.050518,1499,4830.159731
440.08406,2259,4840.374182
392.461562,3600,4856.431898
53.123403,348,4857.971839
414.501196,1612,4865.066853
1202.027309,3073,4878.876485
714.493732,3600,4895.008726
235.707653,2163,4904.454683
1034.593741,3600,4920.333131
1277.97567,3600,4936.386488
179.803149,1062,4941.083785
82.13258,242,4942.141127
67.091489,267,4943.332078
189.325572,810,4946.905649
920.640861,3600,4962.965537
154.894209,337,4964.440581
351.838442,504,4966.916307
81.082174,226,4967.906448
904.906245,3600,4983.904788
1170.927725,3600,4999.8315
103.050366,249,5000.942689
147.883524,1033,5005.644452
65.843389,268,5006.769727
157.231513,927,5010.88871
564.935822,884,5014.72701
826.370554,1715,5022.417685
35.138881,157,5023.119396
208.513318,652,5025.879013
828.706089,1772,5033.74518
76.019849,285,5035.026479
107.013679,333,5036.500474
47.098726,169,5037.273341
91.118202,224,5038.443511
1364.359537,2781,5050.890653
635.092688,1681,5058.55031
239.871619,671,5061.4472
375.760052,839,5065.096241
96.929093,366,5066.726607
195.347868,1073,5071.481339
1199.392633,3600,5087.538705
1291.419834,3600,5103.496756
1852.63599,3600,5119.688374
884.828852,2549,5131.036608
118.99248,332,5132.492643
665.523144,3600,5148.717121
757.864591,2596,5160.200142
1023.402351,1688,5167.760154
333.321725,1337,5173.608313
92.664055,307,5175.022127
133.333396,650,5177.847119
47.075804,184,5178.691109
150.026512,323,5180.105262
334.797,1317,5186.013873
846.276505,2172,5195.518749
568.568067,1614,5202.936934
86.935171,559,5205.392202
1086.834933,1931,5213.98906
21.034271,138,5214.619513
28.679376,191,5215.500819
623.263792,1428,5222.115735
1020.963059,3600,5238.081892
6.864029,121,5238.636996
59.22521,196,5239.507803
1830.583148,3600,5255.504817
171.603435,381,5257.201509
184.903868,403,5259.235992
210.434254,2804,5271.574713
34.565646,182,5272.367172
397.518284,1536,5279.360284
157.817443,1372,5285.364577
424.306228,2166,5295.048232
133.966758,661,5297.859563
509.056111,3600,5313.958093
1219.939193,3600,5329.907526
155.709727,717,5333.344632
1354.244734,3600,5349.376125
426.989202,2565,5360.625668
627.174472,3600,5376.876932
20.897076,141,5377.508914
571.854559,3400,5392.737604
549.105992,2258,5402.776394
27.427485,146,5403.425725
153.641312,829,5407.242655
352.750771,764,5410.610685
45.562498,232,5411.622458
177.046312,1007,5416.057827
160.305183,303,5417.448965
706.276064,2519,5428.792259
328.658652,3600,5445.008897
82.206322,251,5446.094738
1506.79161,3600,5477.542319
411.221306,1219,5482.968739
315.209952,3600,5498.836628
1113.013132,3600,5514.810149
358.940182,1379,5520.836749
471.074686,3600,5536.8179
728.514463,3112,5550.720924
824.30484,3600,5566.930929
152.662068,346,5568.418561
461.303111,3600,5584.46962
593.373279,1568,5591.401046
964.939308,2968,5604.774531
214.814026,1042,5609.297514
500.838531,3600,5625.350768
559.696464,2054,5634.476342
329.056101,2589,5646.040503
633.209078,2850,5658.872029
116.697516,389,5660.559861
409.991177,3136,5674.375261
349.02145,910,5678.587425
173.268162,879,5682.402408
908.90911,3600,5698.618767
530.982618,3600,5714.824203
996.644951,3600,5730.88965
413.185888,1074,5735.526991
243.212054,1240,5740.947521
1127.796885,1838,5749.179999
96.14351,349,5750.716263
191.406473,967,5755.031694
658.572715,3600,5771.039773
412.048561,1773,5778.821062
485.481584,1048,5783.503241
448.157238,956,5787.892988
44.714741,167,5788.629553
424.574219,3600,5804.766115
567.636178,3600,5820.539836
1058.843152,3600,5836.383347
1089.998897,3487,5851.692527
1093.616724,3600,5867.59542
801.050097,2699,5879.710446
22.379259,141,5880.325248
363.27185,1479,5886.800148
857.135658,3600,5902.861877
1040.858805,3600,5918.827963
449.996854,1099,5923.695
1251.357291,3600,5939.740438
1090.367157,3600,5955.756947
417.296671,1298,5961.42721
78.556928,215,5962.378846
528.484779,2075,5971.568759
59.610279,235,5972.562841
968.271346,3600,5988.523129
773.116975,2973,6001.633926
491.51288,2128,6011.07908
497.46208,3600,6027.100679
82.441609,208,6028.089773
175.593172,769,6031.519907
183.921833,599,6034.116196
1240.486441,3600,6050.022289
604.313614,2721,6062.047258
476.771598,3600,6077.971175
122.175136,419,6079.807951
1042.250954,2742,6091.919037
534.500826,3600,6107.892803
722.776594,3600,6123.968944
124.858697,651,6126.894213
475.239955,1862,6135.201518
96.369167,284,6136.452636
244.530296,658,6139.340442
793.161874,2058,6148.701548
465.33052,1606,6155.781101
492.035602,3600,6171.699419
1543.750309,3600,6187.778499
54.09046,182,6188.596417
578.760777,3600,6204.675684
492.808085,2097,6213.872111
853.415681,2927,6227.029298
280.150015,824,6230.65549
15.127319,137,6231.272893
99.154055,911,6235.343026
161.891891,315,6236.741833
162.165404,363,6238.391636
761.250277,3600,6254.357817
662.302389,3600,6270.271648
513.882298,982,6274.609639
1054.079315,2640,6286.600943
986.825127,3600,6302.780572
139.770474,363,6304.402474
1210.616713,3600,6320.515559
765.064485,1909,6329.08576
114.031039,349,6330.870221
1132.891083,3600,6346.765642
603.280531,3600,6362.772677
754.068344,1346,6368.996281
508.298035,1695,6376.339044
719.126282,1822,6384.40162
807.818818,3600,6400.502654
696.082888,1331,6406.484154
68.060583,217,6407.414349
275.246268,2135,6416.780968
259.335785,708,6419.902817
77.256987,205,6420.780639
1387.109377,3600,6436.846225
643.519511,2453,6447.784371
762.1751,1912,6456.296484
926.10475,3600,6472.421682
6.540614,125,6473.002758
404.44494,1603,6480.269289
217.351232,791,6483.784661
540.450782,3600,6499.753663
888.557274,2589,6511.350423
593.228378,1361,6517.480303
18.842722,135,6518.071007
18.882315,140,6518.697779
677.554461,2087,6527.90817
987.999726,2635,6539.51676
666.226217,1185,6544.795578
743.480384,3535,6560.506025
988.293905,3600,6576.570587
51.876699,187,6577.395022
618.055489,1948,6586.876266
1050.670247,2586,6598.901652
395.215564,3600,6616.447742
512.510211,1931,6625.461307
714.271622,3600,6642.98456
732.913295,3600,6659.474054
1687.123538,3600,6677.048027
104.785976,257,6678.244766
198.260299,352,6679.845787
474.207889,2330,6690.264856
1279.37206,3428,6707.474207
169.585527,781,6710.891883
125.230878,321,6712.308568
125.267746,726,6715.519634
180.008378,401,6717.233811
1179.932025,3600,6733.133254
824.521882,3000,6746.418397
269.098669,572,6748.966253
468.323046,3600,6764.894236
14.345978,136,6765.509454
1170.968384,3600,6781.429363
220.142214,1624,6788.663126
76.620181,219,6789.664678
554.616672,2155,6799.185451
384.794132,3600,6815.268674
249.808243,651,6817.998335
69.337906,404,6819.776412
879.229985,3600,6835.776115
57.581013,198,6836.627611
22.760567,144,6837.303758
1361.483069,3600,6853.385306
1419.26478,3600,6869.476294
0.785678,158,6870.152423
1045.145699,3600,6886.20276
1561.913604,2596,6897.567435
551.15569,1629,6904.924703
1044.07885,3600,6920.66317
4.861345,119,6921.207469
393.454622,3049,6934.806712
22.732203,140,6935.415018
288.813194,778,6938.898292
32.547488,164,6939.615596
52.712714,214,6940.797338
1167.218481,3600,6956.69636
803.896193,3600,6972.563009
40.240245,168,6973.289438
85.498244,320,6974.746261
34.563936,153,6975.4477
102.814377,243,6976.563695
160.115269,343,6978.232497
182.155543,2388,6988.728417
1180.267126,2469,6999.706153
498.389367,3600,7015.741127
505.458802,1826,7023.658417
615.423441,3600,7039.527234
52.267161,183,7040.32215
271.355221,3600,7056.209795
